centroid,nb_destinations,trajets,trajets_ok,nb_station_DRT,DRT,DRT_ok,WALK_to_station_DRT,WALK,somme,inaccessibilite,accessibilite
161,34,None,None,None,None,None,None,None,325859.5092,9584.103211764705,0.00010433944396304885
162,44,None,None,None,None,None,None,None,398894.4816000001,9065.783672727275,0.00011030486013121118
163,50,None,None,None,None,None,None,None,417852.1079999999,8357.042159999997,0.00011965956146378951
164,72,1,0,0,0,0,0,1,604827.7728,8400.385733333334,0.00011904215255639134
165,92,79,0,0,0,0,0,79,756379.0848,8221.511791304347,0.00012163213109511937
166,95,80,0,0,0,0,0,80,703800.8772000001,7408.430286315791,0.00013498136060578354
167,94,79,0,0,0,0,0,79,646525.974,6877.935893617022,0.00014539245719461224
168,106,93,2,0,0,0,0,93,770396.5212000002,7267.891709433964,0.00013759148319477117
169,112,100,0,0,0,0,0,100,808745.5164000004,7220.94211071429,0.00013848608459500318
170,112,103,9,0,0,0,0,103,782452.6488000001,6986.184364285715,0.00014313965218440704
171,126,115,9,0,0,0,0,115,850928.3376000001,6753.3995047619055,0.00014807357380455392
172,156,14,0,0,0,0,0,14,1135620.4967999996,7279.618569230767,0.00013736983476397575
173,184,164,9,0,0,0,0,164,1313009.7047999997,7135.922308695651,0.00014013605484205255
174,220,195,11,0,0,0,0,195,1662666.333599999,7557.57424363636,0.00013231758865511926
175,256,227,0,0,0,0,0,227,2017063.6716000005,7879.154967187502,0.00012691716359996335
176,285,253,0,0,0,0,0,253,2309330.6123999995,8102.9144294736825,0.0001234123855933345
177,314,282,0,0,0,0,0,282,2604054.103199998,8293.165933757955,0.00012058121204706936
178,327,300,15,0,0,0,0,300,2714214.0984000005,8300.348924770644,0.00012047686296846034
179,353,317,77,0,0,0,0,317,2703583.2756,7658.876134844192,0.0001305674595585222
180,347,310,91,0,0,0,0,310,2636102.596800001,7596.837454755046,0.0001316337233691996
181,337,301,88,0,0,0,0,301,2584302.3888000003,7668.553082492583,0.0001304026964725607
182,321,289,10,0,0,0,0,289,2698810.8420000016,8407.510411214958,0.000118941274062067
183,318,288,91,0,0,0,0,288,2468991.314399999,7764.1236301886765,0.00012879753693150544
184,299,271,45,0,0,0,0,271,2568545.2452000002,8590.452325083614,0.00011640830565813853
185,280,255,51,0,0,0,0,255,2468647.7759999987,8816.599199999995,0.00011342241802258637
186,268,244,63,0,0,0,0,244,2463716.1432000007,9192.970683582093,0.0001087787652565802
187,248,226,2,0,0,0,0,226,2467214.5884000007,9948.445920967744,0.00010051821238655575
188,220,None,None,None,None,None,None,None,2303587.9608,10470.854367272726,9.550319056347102e-05
189,158,None,None,None,None,None,None,None,1717664.0604,10871.291521518988,9.19853908820831e-05
190,77,None,None,None,None,None,None,None,854035.4759999999,11091.369818181816,9.016018908329285e-05
191,42,None,None,None,None,None,None,None,489337.9932,11650.9046,8.583024531846222e-05
192,0,None,None,None,None,None,None,None,0.0,0.0,0.0
193,0,None,None,None,None,None,None,None,0.0,0.0,0.0
194,0,None,None,None,None,None,None,None,0.0,0.0,0.0
195,0,None,None,None,None,None,None,None,0.0,0.0,0.0
196,0,None,None,None,None,None,None,None,0.0,0.0,0.0
197,0,None,None,None,None,None,None,None,0.0,0.0,0.0
198,0,None,None,None,None,None,None,None,0.0,0.0,0.0
199,0,None,None,None,None,None,None,None,0.0,0.0,0.0
200,19,1,0,0,0,0,0,1,173737.374,9144.072315789474,0.00010936046495096674
201,36,None,None,None,None,None,None,None,360291.3912,10008.0942,9.99191234630865e-05
202,44,None,None,None,None,None,None,None,410732.51279999997,9334.829836363635,0.00010712568065295853
203,55,None,None,None,None,None,None,None,488663.88,8884.797818181818,0.00011255180145502057
204,70,None,None,None,None,None,None,None,601496.4815999999,8592.806879999998,0.00011637640807772932
205,94,1,0,0,0,0,0,1,794189.5932,8448.825459574467,0.00011835964712311216
206,98,82,0,0,0,0,0,82,745904.6616000002,7611.272057142859,0.00013138408304056638
207,104,87,3,0,0,0,0,87,722177.7827999997,6944.017142307689,0.0001440088610823435
208,120,None,None,None,None,None,None,None,834755.7324000006,6956.297770000005,0.00014375462826111875
209,127,None,None,None,None,None,None,None,874022.448,6882.06651968504,0.00014530519243597276
210,124,112,0,0,0,0,0,112,863876.4552000002,6966.745606451615,0.00014353904340556677
211,136,123,10,0,0,0,0,123,931459.7627999999,6848.968844117647,0.00014600738049186295
212,172,154,11,0,0,0,0,154,1250222.2079999996,7268.733767441859,0.00013757554369087007
213,217,186,0,0,0,0,0,186,1677527.7084000001,7730.542435023042,0.00012935702874736492
214,252,226,12,0,0,0,0,226,1914267.4248000006,7596.2993047619075,0.0001316430487899717
215,282,255,13,0,0,0,0,255,2170226.0304,7695.836987234043,0.00012994038226885697
216,321,292,12,0,0,0,0,292,2557167.3144000014,7966.253315887855,0.0001255295256561331
217,344,314,96,0,0,0,0,314,2365223.6747999997,6875.650217441859,0.00014544079008894928
218,363,325,15,0,0,0,0,325,2911869.5388000016,8021.679170247939,0.00012466217842630216
219,387,343,16,0,0,0,0,343,3158139.6660000007,8160.567612403102,0.000122540495648871
220,389,295,0,0,0,0,0,295,3233022.746400002,8311.11245861183,0.00012032083610706259
221,366,327,98,0,0,0,0,327,2660581.1327999984,7269.347357377045,0.00013756393123588801
222,350,312,101,0,0,0,0,312,2525958.6420000005,7217.024691428573,0.0001385612551925543
223,340,307,100,0,0,0,0,307,2446089.7823999985,7194.381712941172,0.000138997350974749
224,333,302,31,0,0,0,0,302,2692394.9807999996,8085.270212612611,0.00012368170434675773
225,325,294,33,0,0,0,0,294,2747422.195199999,8453.606754461536,0.00011829270381807539
226,306,278,36,0,0,0,0,278,2691616.7064,8796.13302745098,0.00011368632066832084
227,294,265,0,0,0,0,0,265,2777007.0191999986,9445.602106122444,0.0001058693759026564
228,272,247,0,0,0,0,0,247,2718505.8479999984,9994.50679411764,0.00010005496225071948
229,249,None,None,None,None,None,None,None,2651173.1879999996,10647.28187951807,9.392068429442793e-05
230,174,None,None,None,None,None,None,None,1936219.5179999995,11127.69837931034,8.986584340381598e-05
231,63,None,None,None,None,None,None,None,710990.5715999999,11285.564628571427,8.860876995629629e-05
