stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
166,STPVA2,ST-PALAIS-SUR-MER - Vallet,ARRET DU RESEAU CARA BUS .,45.6447078162732,-1.091024419582
89,STPVAL,ST-PALAIS-SUR-MER - Vallet,ARRET DU RESEAU CARA BUS .,45.6447967434985,-1.09111644612511
800,SUL1A1,ST-SULPICE-DE-ROYAN - Ardiller,ARRET DU RESEAU CARA BUS .,45.6691077843845,-1.01887883921612
801,SUL1A2,ST-SULPICE-DE-ROYAN - Ardiller,ARRET DU RESEAU CARA BUS .,45.6690931946274,-1.01883290711241
816,SUL1B1,ST-SULPICE-DE-ROYAN - Messe,ARRET DU RESEAU CARA BUS .,45.6718367295284,-1.0146086454479
817,SUL1B2,ST-SULPICE-DE-ROYAN - Messe,ARRET DU RESEAU CARA BUS .,45.6718232041888,-1.01453609930207
802,SUL2A1,ST-SULPICE-DE-ROYAN - Boissirand,ARRET DU RESEAU CARA BUS .,45.6624911511027,-1.04297842115196
803,SUL2A2,ST-SULPICE-DE-ROYAN - Boissirand,ARRET DU RESEAU CARA BUS .,45.6624870890648,-1.04293188786567
818,SUL2B1,ST-SULPICE-DE-ROYAN - Métairies,ARRET DU RESEAU CARA BUS .,45.6921786555473,-1.00181894716164
819,SUL2B2,ST-SULPICE-DE-ROYAN - Métairies,ARRET DU RESEAU CARA BUS .,45.6922030313185,-1.0017696717496
804,SUL3A1,ST-SULPICE-DE-ROYAN - Capucines,ARRET DU RESEAU CARA BUS .,45.6674618414525,-1.01562388266238
805,SUL3A2,ST-SULPICE-DE-ROYAN - Capucines,ARRET DU RESEAU CARA BUS .,45.6673924751452,-1.01551462954896
820,SUL3B1,ST-SULPICE-DE-ROYAN - Petit Aubat,ARRET DU RESEAU CARA BUS .,45.6740696708906,-0.981265143118581
821,SUL3B2,ST-SULPICE-DE-ROYAN - Petit Aubat,ARRET DU RESEAU CARA BUS .,45.6741332027452,-0.981139110898657
