route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id
172,8,497,SAUJON - Hopiteau,,1,
34,8,498,LA TREMBLADE - Ronce Casino,,1,
134,8,499,ROYAN - Perche,,1,
133,8,500,VAUX-SUR-MER - Val Lumière,,1,
161,11,501,MARENNES - Place Carnot,,1,
161,9,502,MARENNES - Place Carnot,,1,
31,8,503,ROYAN - Cordouan,,0,
32,8,504,ST-GEORGES-DE-DIDONNE - Parasols,,1,
134,8,505,ROYAN - Cordouan,,0,
172,8,506,SAUJON - Gare,,0,
32,8,507,ST-PALAIS-SUR-MER - Vallet,,0,
126,8,508,ROYAN - Gare ,,1,
128,8,509,SAUJON - Gare,,0,
103,10,510,LES MATHES - Palmyre OT,,0,
133,8,511,MEDIS - Aérodrome,,0,
31,8,512,ST-SULPICE-DE-ROYAN - Centre,,1,
128,9,513,SAUJON - Gare,,0,
128,11,514,SAUJON - Gare,,0,
126,8,515,VAUX-SUR-MER - Val Lumière,,0,
134,8,516,ROYAN - Perche,,1,
133,8,517,ROYAN - Gare ,,1,
128,9,518,RONCE - Casino,,0,
128,11,519,RONCE - Casino,,0,
31,8,520,ROYAN - Cordouan,,0,
172,8,521,SAUJON - Hopiteau,,1,
133,8,522,MEDIS - Aérodrome,,0,
32,8,523,ST-GEORGES-DE-DIDONNE - Parasols,,1,
134,8,524,ROYAN - Cordouan,,0,
32,8,525,ST-PALAIS-SUR-MER - Vallet,,0,
126,8,526,ROYAN - Gare ,,1,
133,8,527,ROYAN - Gare ,,1,
31,8,528,ST-SULPICE-DE-ROYAN - Centre,,1,
126,8,529,VAUX-SUR-MER - Val Lumière,,0,
133,8,530,MEDIS - Aérodrome,,0,
172,8,531,SAUJON - Gare,,0,
103,10,532,LES MATHES - Palmyre OT,,0,
134,8,533,ROYAN - Perche,,1,
133,8,534,VAUX-SUR-MER - Val Lumière,,1,
34,8,535,ROYAN - Gare ,,0,
31,8,536,ROYAN - Cordouan,,0,
134,8,537,ROYAN - Cordouan,,0,
161,8,538,ETAULES - Eglise,,0,
32,8,539,ST-GEORGES-DE-DIDONNE - Parasols,,1,
33,8,540,ROYAN - Gare ,,0,
36,8,541,ROYAN - Gare ,,0,
37,8,542,ROYAN - Gare ,,0,
35,8,543,ROYAN - Gare ,,0,
32,8,544,ST-PALAIS-SUR-MER - Vallet,,0,
126,8,545,ROYAN - Gare ,,1,
133,8,546,MEDIS - Aérodrome,,0,
172,8,547,SAUJON - Hopiteau,,1,
31,8,548,ST-SULPICE-DE-ROYAN - Centre,,1,
134,8,549,ROYAN - Perche,,1,
103,10,550,ROYAN - Gare ,,1,
33,8,551,ARVERT - Halle,,1,
35,8,552,SAUJON - Richelieu,,1,
36,8,553,COZES - Gare,,1,
37,8,554,MESCHERS-SUR-GIRONDE - Longée,,1,
126,8,555,VAUX-SUR-MER - Grosse Pierre,,0,
34,8,556,LA TREMBLADE - Ronce Casino,,1,
161,8,557,MARENNES - Place Carnot,,1,
161,9,558,MARENNES - Place Carnot,,1,
134,8,559,ROYAN - Gare ,,0,
31,8,560,ROYAN - Gare ,,0,
133,8,561,VAUX-SUR-MER - Val Lumière,,1,
32,8,562,ROYAN - Gare ,,0,
32,8,563,ROYAN - Gare ,,1,
128,8,564,SAUJON - Gare,,1,
172,8,565,SAUJON - Gare,,0,
34,8,566,ROYAN - Gare ,,0,
133,8,567,MEDIS - Aérodrome,,0,
128,8,568,SAUJON - Gare,,0,
134,8,569,ROYAN - Cordouan,,0,
33,8,570,ROYAN - Gare ,,0,
36,8,571,ROYAN - Gare ,,0,
37,8,572,ROYAN - Gare ,,0,
35,8,573,ROYAN - Gare ,,0,
